fips,layer,table,rows_approx
26099,cbsa,pvs_cbsa_26099,see Snowflake
26099,cd,pvs_cd_26099,see Snowflake
26099,cdp,pvs_cdp_26099,see Snowflake
26099,county,pvs_county_26099,see Snowflake
26099,mcd,pvs_mcd_26099,see Snowflake
26099,place,pvs_place_26099,see Snowflake
26099,tracts2020,pvs_tracts2020_26099,see Snowflake
26125,cbsa,pvs_cbsa_26125,see Snowflake
26125,cd,pvs_cd_26125,see Snowflake
26125,cdp,pvs_cdp_26125,see Snowflake
26125,county,pvs_county_26125,see Snowflake
26125,mcd,pvs_mcd_26125,see Snowflake
26125,place,pvs_place_26125,see Snowflake
26125,tracts2020,pvs_tracts2020_26125,see Snowflake
26163,cbsa,pvs_cbsa_26163,see Snowflake
26163,cd,pvs_cd_26163,see Snowflake
26163,cdp,pvs_cdp_26163,see Snowflake
26163,county,pvs_county_26163,see Snowflake
26163,mcd,pvs_mcd_26163,see Snowflake
26163,place,pvs_place_26163,see Snowflake
26163,tracts2020,pvs_tracts2020_26163,see Snowflake
26,cbsa,pvs_cbsa_26,see Snowflake
26,cd,pvs_cd_26,see Snowflake
26,cdp,pvs_cdp_26,see Snowflake
26,county,pvs_county_26,see Snowflake
26,mcd,pvs_mcd_26,see Snowflake
26,place,pvs_place_26,see Snowflake
26,state,pvs_state_26,see Snowflake
26,tracts2020,pvs_tracts2020_26,see Snowflake
